Query,Job Title,IT Skills,Soft Skills,Salary,Location,Education,Experience,Description,Seniority,job_id
Other IT Roles,VMware System Admin,"Active Directory, Apache, Data Center, Disaster Recovery, DNS, Linux, Microsoft Exchange, MySQL, Network Administration, Networking, Operating Systems, Security, Servers, System Administration, Troubleshooting, Unix, Virtualization, VMware, Windows, Windows Server",,"$5,400to$7,000Monthly","PAYA LEBAR SQUARE, 60 PAYA LEBAR ROAD 409051",,4 years  exp,knowledge esxi exposure vmware windows administration vmware patching strategies strong hands experience vsphere systems administration support including ha affinity rules storage migrations migrations maintains system performance performing system monitoring analysis performance tuning troubleshooting system hardware installation firmware patching vmware software patching requirements strong hands experience vsphere problem determination capacity planning root cause analysis experience running administrative reports using operation manager understanding backup restoration understanding dr concepts noc experience troubleshooting limited vmware troubleshooting guest os required,Professional,JOB-2019-0118753
Software Development,Senior Software Engineer,"Agile Methodologies, C, C#, C++, Distributed Systems, Java, JavaScript, jQuery, Linux, Microsoft SQL Server, MySQL, Python, Scrum, Software Development, Software Engineering, SQL, Unix, Web Applications, Web Services, XML",,"$8,900to$13,350Monthly","CITY HOUSE, 36 ROBINSON ROAD 068877",,5 years  exp,us company mission elevate world global platform positively impacts work live grow three distinct business lines mission create world people work make life living mission build world one alone mission every human design technology hospitality creating community helps people live life purpose meaningful impact world company 2019 400 000 members less ten years built global network 400 locations across 100 cities nearly 30 countries getting started technology charter creating layer technology power vision space service identifying designing new location bringing space market elastic easy consume way seamlessly operating spaces delight members building state art systems automate optimize improve experience data collecting used dynamically optimize utilization pricing even layout form factor technology advantage allowed scale buildings 20 countries competitive advantage company continues grow looking want someone wants build advanced technically sophisticated products physical digital experience tech first shared want experienced software engineers thrive small focused highly collaborative teams work cross functional teams develop solutions also help define problems execute projects strong communication skills desire involved aspects product life cycle must strong problem solving skills thinking outside box dealing ambiguity skills value want passionate building scalable software solutions want flexible enough learn fast work details reliable everything want build products us team great technical talent share experiences great work together building location based experiences working scalable applications members employees use manage navigate spaces involved design development services leverage various technologies indoor mapping role build scalable performant reusable testable components research new technology build prototypes write clean maintainable code work closely product owner product designer review requirements designs break work support solve issues process system identify root cause actively implement balanced corrective actions work team influence technology direction use full stack consumer grade ux ui solutions practices engage delight internal platform users requirementsqualifications experience service oriented architecture web application services mobile development experience working unix linux environment understanding performance load balancing operational issues able drive sprints multiple sprints given strategic direction ability clearly concisely communicate technical non technical stakeholders across levels organization deep understanding cloud technologies ecs iam etc plus experience docker nice well versed go react plus requirements bachelor 's degree computer science related field required ms plus minimum 5 years experience building highly available critical systems deep understanding cs fundamentals data structures algorithms programming languages least two years worth experience following areas service oriented architecture web services web application services development object oriented analysis design design patterns messaging asynchronous architectures building restful apis micro services developing distributed scalable solutions multi high volume transaction systems performance load balancing operational issues latency availability,Manager,JOB-2019-0101781
Project & Program Management,Project Manager,"Budgets, Business Analysis, Business Development, Business Strategy, Change Management, Construction, Contract Management, Integration, Leadership, Management, Microsoft Office, MS Project, Process Improvement, Program Management, Project Management, Project Planning, Software Project Management, Strategic Planning, Strategy, Team Leadership",,"$5,000to$7,000Monthly","ROBINSON CENTRE, 61 ROBINSON ROAD 068893",,4 years  exp,project manager contract period 12 months option 12 months attractive remuneration package client familiar brand singapore 's public sector industry opportunity oversee manage multiple vendors external providers ict services work team members application infra teams deliver project time within budget project management scope budget schedule including regular management reporting maintenance development projects ensure projects executed based project plan meet identified business needs within agreed parameters cost duration quality assist procurement systems timely manner participate contribute project activities requirement gathering acceptance testing user acceptance testing security testing performance testing training implementation review project deliverables e g functional specifications system test plan results user guide operation manual plan perform user acceptance testing assess service requests enhancements maintenance systems ensure service level agreements projects incidents met identify potential project risks implication organisation recommend mitigating measures manage risks understand management policy quality management policy security guidelines ensure development processes procedures system designed comply policies guidelines requirements tertiary education relevant fields preferred hands experience least 1 full project development life cycle project management contract management vendor management experience project management professional certification pmp agile experience date product trends best practices technologies strong project management skills good analytical skills proactive self starter result customer oriented independent worker well team player good written verbal communication presentation negotiation skills good interpersonal skills capable maintain good rapport business users self motivated pro active approach problem solving able work within tight timelines good time management skills adaptability ability multi task perform well pressure fast paced environment interested candidate please submit resume peoplebank asia,Professional,JOB-2019-0101875
Engineering & Technical,Staff SW Engineer,"Algorithms, AutoCAD, C, C++, Civil Engineering, Construction, Debugging, Distributed Systems, Embedded Systems, Engineering, Engineering Management, Java, Linux, Manufacturing, Project Management, Semiconductors, Simulations, Software Development, Software Engineering, Testing",,"$7,500to$13,000Monthly",71 ROBINSON ROAD 068895,,2 years  exp,position ideal experienced sw engineer passionate solving challenging business problems building applications provide excellent user experience integral part application operation product development team focusing design build software solutions leverage data solve business problems role self motivated individual expert software engineering skills solid expertise systems integration technologies candidate extensively involved hands activities including pocs design documentation development test new functionality candidate must flexible willing switch tasks based team 's needs responsibilities understand e2e implementation architecture products apps production optimize ensure efficiency working closely development engineering operation teams jointly develop key deliverables ensuring production scalability stability able help guide l1 support engineers fix day day operational issues perform tuning increase operational efficiency continuous basis evaluate introduce technology tools processes enable visa develop products solutions embrace business opportunities improve operational efficiency work directly project development teams enable successful project implementation work architecture development teams understand usage patterns work load requirements new projects order ensure application platform effectively meet performance requirements service levels applications develop enhance platform best practices educate developers best practices requirements masters computer science 2 years experience bachelor degree computer science 5 years experience working knowledge management protocols ng ssh etc demonstrated experience writing scripts python perl ruby bash powershell experience rest soap json xml helpful experience programming languages like java c net javascript python ruby etc good working knowledge databases e g mssql mysql etc knowledge software development life cycle experience enterprise tools like process workflow automation software e g resolve etc event management solutions e g ibm log management tools e g splunk elk elastic search good plus itsm process experience e g change management incident management etc working experience itsm tools e g service bmc remedy etc previous use git code management versioning development restful apis huge plus understanding basic networking concepts ip routing access lists layer 2 switching linux familiarity experience working shell environment familiarity network systems infrastructure management concepts example model good expected general soft skills ability engage technical issues concepts across multiple organization levels inside outside visa able work independently yet seamlessly integrate manage diverse groups functions organized within different organizational reporting lines ability lead self manage projects tasks ability desire motivation learn quickly pick new skills organized able prioritize workload order meet necessary deadlines make independent decisions within established guidelines demonstrable teamwork attitude ready initiate collaboration resolve conflicts itil project management certification plus,Professional,JOB-2019-0109729
IT Support & Helpdesk,Senior  /  Systems Specialist - Manufacturing Execution Systems Support,"Agile Methodologies, Analysis, Business Analysis, Business Intelligence, Business Process, Databases, Integration, Java, Management, Microsoft SQL Server, Oracle, Process Improvement, Program Management, Project Management, Requirements Analysis, SDLC, Software Development, Software Project Management, SQL, Systems Analysis",,"$4,000to$7,000Monthly","INFINEON, 8 KALLANG SECTOR 349282",,3 years  exp,new role undertake change release management services software deployment cycle monitor systems health performance capacity perform pro active systems maintenance ensure reliable 24x7 operation mission critical applications provide 2nd 3rd level support ensure incident tickets resolved within agreed service level agreement required drive problem management pro active management services undertake 24x7 call duty required contribute corporate projects requirementsyou best equipped task bachelor computer science computer engineering 3 years relevant experience semiconductor electronics manufacturing industry preferred excellent communication interpersonal skills able work independently team player global setup possesses ' approach towards work good initiative outspoken knowledge pl sql performance tuning basic oracle database administration required knowledge mes application e g preferable profound knowledge application maintenance development windows environment net c profound knowledge windows unix operating systems experience project management,"Professional, Senior Executive, Executive, Junior Executive, Fresh/entry level",JOB-2019-0069818
IT Consulting,Solution Consultant,"Business Analysis, Business Development, Cloud Computing, CRM, Data Center, Enterprise Software, Integration, Leadership, Management, Networking, Pre-sales, Professional Services, Project Management, SaaS, Sales, Salesforce.com, Solution Architecture, Solution Selling, Strategy, Virtualization",,"$4,000to$7,000Monthly","EON SHENTON, 70 SHENTON WAY 079118",,3 years  exp,role summary solution architect plays critical client facing role translates client requirements viable scalable solution helps customers solve problems coordinates efforts across sales delivery teams provide solution estimates generates associated materials assist sales teams acquisition new customers recurring business role responsibilities work sales team identify client needs architect appropriate servicenow solutions requesting technical architect implementation specialist support required clearly identifies articulates problem statement client objective high level business requirements ensure delivered solutions meet short long term company client business performance expectations understands additional applications components would needed required enterprise size customers would fit overall solution design drive preparation delivery client presentations proposals clearly articulate solution relative client needs recommends resourcing profile effort estimation aligning clients budget timelines profitability must coordinate various stakeholders complete rfi rfp experience ability handle rfi rfp queries assist supports client activities sme projects eliminate gaps inconsistencies initial solution architectural design deliverables benefits messaging works functional liaison project team key customer senior executives provides advice customers regarding industry best practices process methodology works project team ensure smooth efficient knowledge transfer pre sales delivery cycle apply deep functional knowledge itil servicenow customer needs requirements maintain high customer satisfaction delivery high quality timely thorough solutions customer problems lead cross functional teams user community gather system requirements conduct analysis co ordinate design solutions establish metrics success conduct analysis systems specifications use analysis tools represent business technical processes develop conversion system implementation plans prepare obtain approval system functional project documentation recommend changes development maintenance standards train user personnel use system support acquisition new clients projects pre sales solution design solution delivery drive solution development requirements gathering analysis discovery business plan creation solution level effort estimation ensure client interests met potential business opportunities established drive preparation delivery client presentations proposals clearly articulate solution relative client needs assist supports client activities sme projects eliminate gaps inconsistencies initial solution architectural design deliverables benefits messaging maintains relationships divisional cxo level going field meeting business clients understand client business needs determines appropriate solutions builds implements account strategies requirementsrequirements 3 years professional experience sound servicenow knowledge servicenow certification preferred openness travel tertiary education preferred,Professional,JOB-2019-0072311
Quality Assurance & Testing,Test Engineer (Automation),"Agile Methodologies, Electronics, Engineering, Java, Linux, Manual Testing, Matlab, Quality Assurance, Quality Center, Regression Testing, Requirements Analysis, SQL, System Testing, Test Automation, Test Cases, Test Management, Test Planning, Testing, Unix, User Acceptance Testing",,"$3,300to$4,800Monthly","SIM LIM TOWER, 10 JALAN BESAR 208787",,3 years  exp,develop test automation devices generate test reports prepare test automation related documents perform load testing devices software design development testing enhance update requirements design test documentations responsible end end testing activities integrated e payment system design develop test automation scripts based requirements system design execute test procedures automation test scripts log track defects closure conduct test reviews internal external stakeholders perform root cause analysis production user acceptance defects addressing test gaps ensure test efficiency requirementsknowledge skills abilities recognized degree equivalent information technology engineering least 3 years relevant experience developing executing test automation solution involves devices embedded back office systems possess strong interest self motivation carry testing objective contribute towards better quality software system good written verbal communication skills english able work well independently well team familiarity whole system development lifecycle requirement development testing deployment good capability designing developing effective test cases based requirements creating traceability requirements test procedures skilled developing test automation solution using scripting programming languages java c c net relevant experience competence used test management config management test automation defect tracking experience performing root cause analysis addressing test gaps familiarity database scripting performance tuning certification software automation desired experience micro payment,Junior Executive,JOB-2019-0109050
Project & Program Management,Project Manager,"Budgets, Business Analysis, Business Development, Business Strategy, Change Management, Construction, Contract Management, Integration, Leadership, Management, Microsoft Office, MS Project, Process Improvement, Program Management, Project Management, Project Planning, Software Project Management, Strategic Planning, Strategy, Team Leadership",,"$7,000to$10,000Monthly","THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",,7 years  exp,administer network technologies including equipment cisco cisco palo alto f5 regional network migration assist development documentation installation troubleshooting procedures applied customer internal facing environments update maintain systems used manage track document network resource usage cisco prime cisco ise dns files etc requirements must least 7 years experience designing deploying implementing core route switch data center networks accordance industry best practices regional network migration background sd wan migration experience experience sd wan technologies versa peak solutions plus,Manager,JOB-2019-0098976
Quality Assurance & Testing,Senior Test Analyst,"Agile Methodologies, Agile Testing, Defect Tracking, Integration Testing, Manual Testing, QTP, Quality Assurance, Quality Center, Regression Testing, Software Quality Assurance, System Integration Testing, System Testing, Test Automation, Test Cases, Test Execution, Test Management, Test Planning, Test Strategy, Testing, User Acceptance Testing",,"$6,000to$10,000Monthly","SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986",,3 years  exp,technology transformation expansion new technologies exposure agile methodologies unique one technology environment singapore support implementation systems 2 year contract possibility permanent conversion ideal fit enjoy working agile projects well versed agile methodology preferably hands functional test performance test tools champion test related activities software test engineering practices guidance tools educated computer science experience software development backed track record test scripting within test automation software performance projects background software engineer worked small large scale projects expertise software test software performance running efficiently agile projects requirements experience software development experience test scripting areas software performance automation testing experience working agile projects versed agile methodology javascript java c programming language experience advanced knowledge hands experience selenium junit jmeter,"Manager, Senior Executive",JOB-2019-0099427
DevOps & Cloud,System Administrator,"Active Directory, Apache, Data Center, Disaster Recovery, DNS, Linux, Microsoft Exchange, MySQL, Network Administration, Networking, Operating Systems, Security, Servers, System Administration, Troubleshooting, Unix, Virtualization, VMware, Windows, Windows Server",,"$4,500to$6,000Monthly","THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",,3 years  exp,12 months renewable contract requirements configuring setting new servers switches routers overseeing managing customers data center environment installing de installing distributed systems network hardware routers switches firewalls etc data center within internal service level monitoring dc facilities ensuring operations practices compliance regulatory requirements standards responsible ensuring successful completion remote hands team e g physical installation patching etc media rotation customers cisco ccnp routing switching certified provide hands break fix level 2 support data center systems communications environments used server management technology like configured switches router switch builder software,Middle Management,JOB-2019-0099046
Network Engineering,Infrastructure Engineer,"Active Directory, Cloud Computing, Data Center, Disaster Recovery, DNS, Firewalls, Infrastructure, ITIL, Linux, Microsoft Exchange, Network Security, Networking, Security, Servers, Troubleshooting, Unix, Virtualization, VMware, VMware ESX, Windows Server",,"$4,800to$6,200Monthly","RAFFLES CITY TOWER, 250 NORTH BRIDGE ROAD 179101",,3 years  exp,provide support physical virtual servers data center san storage backup solutions operational support various enterprise services like dns servers active directory trusts exchange server symantec secure messaging gateway passion automation scripting delivering high availability solutions monitor system performance capacity metrics provide level 2 3 troubleshooting support raise coordinate support cases vendors principals needed supporting multiple projects throughout project lifecycle reporting capacity planning ensure optimal performance explore propose potential improvement architecture process leveraging new technology better performance reliability cost effectiveness efficient maintenance operation records audit analysis ensure compliance itil service management best practices identify potential risks issues may affect production systems ensure timely update maintenance system documentation including system recovery dr document tracking renewal hardware sw professional services maintenance agreements working closely support vendor support systems application according contractual requirement ability work occasional weekends implementation maintenance required requirements demonstrate advance technical skills supporting troubleshooting enterprise systems operation aware current emerging technologies hands technical troubleshooting skills across multiple technology discipline windows server 2008 2012 2016 windows clustering linux platform vmware vsphere microsoft hyper v active directory ad forest external trusts exchange server san storage backup high availability system dr readiness monitoring tool excellent verbal written communication technical documentation reporting skill ability communicate non technical stake holders good appreciation itil best practices compliance audit requirements ability manage prioritize workload good planning organizational time management skills aptitude interest quickly learn new technologies,Senior Executive,JOB-2019-0099421
IT Consulting,Consultant  /  Senior Consultant,"Analysis, Business Analysis, Business Development, Business Strategy, Change Management, Entrepreneurship, Integration, Leadership, Management, Management Consulting, Marketing, Marketing Strategy, Program Management, Project Management, Research, Social Media, Start-ups, Strategic Planning, Strategy, Training",,"$5,000to$8,000Monthly",not_available,,5 years  exp,participate project work including requirements analysis design testing data conversion responsible translation functional technical specifications program development responsible making customizations system develop custom reports based technical specifications identify provide advice customization requirements selected solution meet client business work process requirements develop technical specifications according functional specifications perform unit testing participate system integration testing resolve technical issues given technical area assist user acceptance test assist trainer program training materials development assist preparing test cases scripts assist post go live support technical issues requirements degree holder computer science related discipline minimum 5 years experience full time erp application implementation enterprise projects technical consultant depth knowledge full range peoplesoft products tools minimum 3 years technical hands experiences system implementation provision support services oracle peoplesoft including peoplesoft campus solutions admissions student records student financials academic contributor relations activity management peoplesoft hrms peoplesoft financials depth knowledge following peoplesoft technical skills application engine application package peoplesoft integration tools crystal report report peoplesoft query peoplesoft security process scheduler depth knowledge oracle pl sql able work pressure minimal supervision,Professional,JOB-2019-0104397
Software Development,Ruby on Rails Developer,"Analysis, Business Analysis, Business Development, Business Strategy, Change Management, Entrepreneurship, Integration, Leadership, Management, Management Consulting, Marketing, Marketing Strategy, Program Management, Project Management, Research, Social Media, Start-ups, Strategic Planning, Strategy, Training",,"$5,000to$10,000Monthly","PRUDENTIAL TOWER, 30 CECIL STREET 049712",,4 years  exp,frontend javascript development skills frameworks like js reactjs vuejs experience testing frameworks etc continuous integration using jenkins experience using ruby rails conjunction underlying database postgresql preferred solid understanding web technologies html5 css3 javascript application development familiar familiar aws framework proficient understanding code versioning tools git requirements responds troubleshoots incidents support end users applications writes clean maintainable reusable efficient ruby code monitors troubleshoots performance system necessary interacts business users technical experts maintains collaborative team oriented disposition,Professional,JOB-2019-0105177
IT Management,Senior Executive,"Business Analysis, Business Intelligence, Databases, EMR, Healthcare Information Technology, Integration, Microsoft SQL Server, Oracle, PL/SQL, Process Improvement, Project Management, Requirements Analysis, Requirements Gathering, SDLC, SharePoint, Software Documentation, Software Project Management, SQL, Testing, Visio",,"$4,500to$7,650Monthly",6 SERANGOON NORTH AVENUE 5 554910,,3 years  exp,drive use analytics healthcare derive insights population health patient care leverage analytics support policy programme planning work key priorities moh draw talents across healthcare landscape support participate data analytics work health analytics clinical excellence operation efficiency cost effectiveness across clusters provide technical advice etl design programming new projects change requests provide support existing etl jobs developed provide development work obiee based report metadata definition liaise closely vendors house developers design configure test enhancements made accordance project methodologies policies support team analyzing documenting project requirements reviewing etl source codes similar projects requirements bachelor 's degree business analytics computer science computer engineering equivalent min 3 5 years experience working industry including project delivery adopting sdlc technical project documentation etl mapping specs sap bods informatica ms sql ssis etl programming testing obiee equivalent bi reporting tool oracle database pl sql scripting able work independently well effective team player strong desire deliver results adaptable meticulous strong analytical skills,Executive,JOB-2019-0104620
Solution Architecture,Solution architect,"Agile Methodologies, Architecture, Business Analysis, Business Intelligence, Cloud Computing, Enterprise Architecture, Enterprise Software, Integration, IT Strategy, Oracle, Pre-sales, Project Management, Requirements Analysis, SDLC, SOA, Software Development, Solution Architecture, Telecommunications, Virtualization, Web Services",,"$4,000to$8,000Monthly","UBI TECHPARK, 10 UBI CRESCENT 408564",,3 years  exp,solution architect focused providing sap business one related 3rd party solutions key mandate provide technical expertise sales team partners customers job description provide pre sales technical consulting prepare technical materials presentations tools improve sales force effectiveness design develop applications solve improve customer existing solution including direct technical customer interaction satisfy business requirements b1 integration projects identify enhancement upgrade requirements existing customers customers system review research evaluate alternative solutions provide proof concepts develop new systems modify existing ones support business serve consulting b1 technical representative internally solution development externally principal industry partners prepare project documents blueprint functional specifications uat script training materials ensure high level technical architecture design documents technical specifications accordance best practices standards participate member team including quality assurance post live support maintenance ensure expected application performance levels achieved interact principal sales marketing partners expected cultivate relationships requirementsabout bachelor master degree information systems computer science computer engineering equivalent demonstrated experience proof concept programming full stack development including front end back end development experiences working integration sap bonus strong background knowledge following languages java python unix shell javascript php also familiar perl c c visual basic databases oracle mysql postgresql pl sql java junit jsp jee websphere tomcat jdbc spring mvc web html html5 css net json jquery bootstrap environments eclipse adobe cs applications os windows linux experience sap b1 3 sap hana sdk visual studio would advantageous strong analytical skills ability problem solve respond complex unique situations ability interfacing customers defining customer problems demonstrated experience assisting customers technology adoption technical consulting excellent interpersonal communication verbal written skills ability exchange complex information effectively customers colleagues,Senior Executive,JOB-2019-0104824
IT Support & Helpdesk,"IT Support Anayst [ Tanjong Pagar, ASP  /  ASP.Net, MySQL  /  SQL Server, 5 Days ]","Active Directory, Computer Hardware, IT Service Management, ITIL, Java, Linux, Microsoft Exchange, Microsoft Office, Networking, PHP, Project Management, Servers, SQL, System Administration, Technical Support, Troubleshooting, VMware, Windows, Windows 7, Windows Server",,"$2,000to$4,000Monthly","AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",,not_available,responsibilities provide technical analysis post implementation support client located raffles place technical issues change requirements develop system enhancements implementation using asp net based client requirements conceptualise design develop customised modules scratch work together lead engineer resolve complex technical issues respond positively change requirements drive continual improvement support practices take ownership drive effective closure complex escalated technical issues keep track outstanding tickets update client proactively resolution status document troubleshooting methodology resolution steps ensure codes compliance standards participate system testing manage uat generate ad hoc reports live system upon client request perform ad hoc tasks assigned superior requirementsrequirements degree information technology similar qualifications familiar development technologies one asp asp net must familiar database technologies one sql server mysql open junior senior level well hiring,"Senior Executive, Executive, Junior Executive, Non-executive, Fresh/entry level",JOB-2019-0104948
IT Management,Senior Executive,"Business Analysis, Business Intelligence, Databases, EMR, Healthcare Information Technology, Integration, Microsoft SQL Server, Oracle, PL/SQL, Process Improvement, Project Management, Requirements Analysis, Requirements Gathering, SDLC, SharePoint, Software Documentation, Software Project Management, SQL, Testing, Visio",,"$3,600to$6,120Monthly",6 SERANGOON NORTH AVENUE 5 554910,,5 years  exp,position summary building strong rapport business users involved conducting requirements analysis system implementation training providing going application support appreciation understanding hospital processes key success role critical resource address system downtime providing 24 7 non shift schedule application support users responsibilities provide going application support involved various stages sdlc conduct user requirement analysis development implementation new systems enhancements existing systems evaluate potential solutions make recommendations resolve business problems involvement system integration testing phase prior implementation plan coordinate end user training system implementations enhancements liaise closely business users build good rapport liaise closely vendors project implementation application testing supporting application patches upgrades accordance project methodologies policies support team defining project requirements tracking documentation provide 24 7 primary application maintenance support requirementsrequirements diploma degree computer science computer engineering equivalent minimum 5 years experience developing implementing maintaining systems successful track record project management user vendor management experience ms windows environment application support strong analytical skills ability work independently experience healthcare industry added advantage,Senior Executive,JOB-2019-0104605
IT Support & Helpdesk,IT Executive,"Business Analysis, Business Intelligence, Change Management, Cloud Computing, Databases, Integration, IT Management, IT Strategy, ITIL, Java, JavaScript, Linux, Management, Microsoft SQL Server, MySQL, Project Management, Software Development, SQL, Windows Server, XML",,"$2,200to$3,000Monthly","SHAW TOWERS, 100 BEACH ROAD 189702",,2 years  exp,east location way 5 days office timing german based mnc responsibilities responsible level 1 level 2 support escalation coordination level 3 including vendors fixed asset management procurement asset tagging inventory movement report support network system troubleshoot network equipment systems provisioning end user devices equipment provide technical support across brand support implementation new solutions applications standard operating image maintenance management educate train end users correct usage system document task procedures enhance system work flow support service software across brand including dealers work team group provide daily operational support availability duties assigned requested requirements least diploma degree computer science information technology minimum 3 years relevant working experience technical support role experience deploying maintaining network infrastructures vmware working knowledge hardware infrastructure knowledge erp crm ticketing system telephony system ios android office 365 windows 7 10 server 2012 experience active directory powershell possess mcse itil comptia certification proven analytical skills resolving problems job id successful candidates expect competitive remuneration package comprehensive range benefits kindly email resume detailed word format tan peopleprofilers com regret shortlisted candidates notified people profilers pte ltd 1 green 18 01 singapore tel ea licence number 02c4944 ea registration number ea personnel tan,Junior Executive,JOB-2019-0105182
IT Management,"Manager, IT Services for Store Systems","Active Directory, Business Analysis, Business Intelligence, Change Management, Data Center, Disaster Recovery, Integration, IT Management, IT Service Management, IT Strategy, ITIL, Leadership, Management, Process Improvement, Program Management, Project Management, Security, Team Leadership, Vendor Management, Windows Server",,"$7,000to$8,000Monthly","SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",,3 years  exp,job summary dfs technology team looking dynamic motivated candidate position service manager store systems candidate opportunity take unique challenges partnering highly skilled global regional colleagues support dfs worldwide store systems ideal candidate customer oriented expected manage service recovery timely manner able handle pressure outage follow thereafter root cause analysis ensure remediation steps put place address issue job duties responsibilities responsible administration store systems manage day day operations daily operational activities incident management problem management implementation new policies procedures support business need serve point contact store systems operations responsible allocating appropriate resources handle emergencies issues resolved first level support work vendors product team resolve operation incident problem change manage communicate end users vendors resolve incident problem develop new strategies procedures increase efficiency enhance workflow ensure business continuity security provide regular summary incident problem change release management meeting work closely product teams release management process ensure governance changes requirements bachelor master degree engineering computer science equivalent 3 5 years experience delivering technology solutions information technology services retail industry experience professional technology certification desirable critical knowledge skills including tools software applications language etc demonstrates thorough abilities proven record success following areas experienced service processes preferably certified itil solid experience strong interest technology solid knowledge store systems operations vendor management stakeholder communications management ability work pressure independently deliver quality work fast paced work environment,Manager,JOB-2019-0104924
Project & Program Management,Technical Project Manager,"Agile Methodologies, Agile Project Management, Business Analysis, Change Management, Integration, Java, Leadership, Management, PMP, Process Improvement, Product Management, Program Management, Project Management, Project Planning, Requirements Analysis, Scrum, SDLC, Software Development, Software Project Management, Strategy",,"$6,000to$9,000Monthly",not_available,,5 years  exp,project manager works within professional services ps team reports directly head professional services role involved sales cycle estimate span work required provide strategic programmatic design comprehensive transformation customers moving legacy platforms unified communications assigned project depending availability skills geographical location apply project management best practices execute projects timely manner define project scope goals plans including milestones deliverables supports agreed business case manage multiple projects ensuring project scopes schedule resources ensure outcome within project milestone timeline budget manage procurement delivery project financial ensure project signoff timely prepare project management life cycle documentation develop project plans project associated documentation following best practices organize required workshops follow meetings internal external stakeholders track issues risks build appropriate contingency mitigation plans escalate needed assure service acceptance activities accomplished allow invoicing participate rfi rfp requirements bachelor degree 5 years project management experience mid large scale network transformation experience working large enterprise networks unified communication security base projects preferred pmp certified mandatory ability engage varying audiences relay information audience types technical c suite executive senior stakeholders project teams intermediate users demonstrates strong drive efficiency resolving problems getting work done timely quality focused manner able build nurture strong lasting relationships internally externally excellent communication skills written verbal detailed oriented meticulous able get details resolve problem interested applicants please submit updated resume stating last drawn expected salary together latest photograph,Professional,JOB-2018-0244159
Enterprise Systems & ERP,Salesforce Developer,".NET, Agile Methodologies, ASP.NET, C#, CSS, Databases, HTML, Java, JavaScript, jQuery, Linux, Microsoft SQL Server, MySQL, PHP, Programming, Scrum, Software Development, SQL, Web Development, XML",,"$7,000to$9,000Monthly",not_available,,1 year  exp,summary role salesforce developer work within pre deploy design configuration function salesforce systems business team salesforce developer maintain blend responsibilities span spectrum administration sales cloud service cloud configuration communities force com development responsibilities include limited job description participating strategic tactical planning discussions continuously improve salesforce com platform participating integration designs developments configuring maintaining functional objects sales service cloud creating managing workflow rules data validations triggers object customizations required appropriate creating maintaining reports dashboards customizing object fields page layouts record types searching list views etc may include appropriate using apex managing operational requests assisting escalated resolution support issues working diverse user groups required creating maintaining system interface diagrams functional designs technical specifications proactively identifying production risks creating actionable mitigation plans participating agile development process applicable appropriate requirementsjob requirements salesforce developer work alongside fellow salesforce team understand proactively monitor aspects configuration applicable necessary collaborate internal external salesforce architects integrators solutions internal data technical associates complexity identified solutions successful candidate work key stakeholders execute configuration development changes derived specific initiatives resulting salesforce platform releases upgrades qualifications education graduate technology preferred relevant work experience technical requirements preferred salesforce administration developer certification knowledge skills minimum 6 months experience salesforce administration force com apex classes triggers visual force implementation experience components development experience preferred communities experience marketing cloud knowledge added advantage deep understanding salesforce com technical requirements system configuration user requirements related policies procedures experience working workflows triggers automate tasks experience writing apex classes triggers pages ability work meet deadlines excellent verbal written skills keen take career onto next level please click apply ea 94c3609,"Manager, Professional, Senior Executive, Executive",JOB-2019-0114865
Business Analysis,Business Analyst (JD#5085),"Analysis, Business Analysis, Business Intelligence, Business Process, Business Process Improvement, Business Strategy, Change Management, Data Analysis, Leadership, Management, Management Consulting, Microsoft Office, Process Improvement, Program Management, Project Management, Requirements Analysis, Requirements Gathering, SDLC, SQL, Strategy",,"$4,000to$6,000Monthly","THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",,2 years  exp,seeking dynamic experienced business analyst one well established financial services support development enhancement front office systems requirementsmandatory skill set bachelor degree information systems related discipline 2 4 years business analyst project management experience strong analytical skills experienced end end project lifecycle experienced performing uat sit managing stakeholders must able work tight deadlines efficiently high quality possess excellent written verbal communication skills efficient analytical change management abilities desired skill set knowledge banking insurance sector pmp certified responsibilities serve liaison customer community internal software development team requirements gathering clarifications develop document facilitate user acceptance test plans ensure fulfillment requirements successful project implementation collaborate developers subject matter experts establish technical vision critically evaluate information gathered multiple sources collects requirements stakeholders analyzing reports interacting team understand system limitations identifies solutions business problems specify requirements enough detail allow successfully implemented identify problem areas recommends ways revise improve efficiencies processes performs duties required interested opportunity please send updated resume apply sciente com earliest confidentiality assured shortlisted candidates notified ea license 07c5639,Executive,Recruiter
